Date,Revenue Source,Platform/Channel,Revenue Amount,Currency,Notes
2023-01-01,Referral,Customer Referral,2530,USD,Referral through Customer Referral
2023-01-02,Referral,Affiliate Program,1544,USD,Referral through Affiliate Program
2023-01-03,Email Campaign,Monthly Newsletter,1893,USD,Email Campaign through Monthly Newsletter
2023-01-04,Seasonal Campaign,Black Friday,11566,USD,Seasonal Campaign through Black Friday
2023-01-05,Website,E-commerce,9104,USD,Website through E-commerce
2023-01-06,Social Media,LinkedIn,4684,USD,Social Media through LinkedIn
2023-01-07,Social Media,Instagram,4017,USD,Social Media through Instagram
2023-01-08,Referral,Affiliate Program,1894,USD,Referral through Affiliate Program
2023-01-09,Website,E-commerce,10385,USD,Website through E-commerce
2023-01-10,Social Media,Instagram,3241,USD,Social Media through Instagram
2023-01-11,Social Media,LinkedIn,6185,USD,Social Media through LinkedIn
2023-01-12,Seasonal Campaign,Black Friday,8411,USD,Seasonal Campaign through Black Friday
2023-01-13,Website,Direct Website,6389,USD,Website through Direct Website
2023-01-14,Social Media,Facebook,3184,USD,Social Media through Facebook
2023-01-15,Social Media,Instagram,6512,USD,Social Media through Instagram
2023-01-16,Email Campaign,Monthly Newsletter,2131,USD,Email Campaign through Monthly Newsletter
2023-01-17,Social Media,Twitter,6192,USD,Social Media through Twitter
2023-01-18,In-Store,Store Visit,8804,USD,In-Store through Store Visit
2023-01-19,Seasonal Campaign,Black Friday,13898,USD,Seasonal Campaign through Black Friday
2023-01-20,Referral,Affiliate Program,1760,USD,Referral through Affiliate Program
2023-01-21,In-Store,Store Visit,6051,USD,In-Store through Store Visit
2023-01-22,Website,Direct Website,10357,USD,Website through Direct Website
2023-01-23,Social Media,Instagram,6721,USD,Social Media through Instagram
2023-01-24,Seasonal Campaign,Holiday Sale,10575,USD,Seasonal Campaign through Holiday Sale
2023-01-25,Social Media,Facebook,6703,USD,Social Media through Facebook
2023-01-26,Referral,Affiliate Program,1403,USD,Referral through Affiliate Program
2023-01-27,Social Media,LinkedIn,4113,USD,Social Media through LinkedIn
2023-01-28,Seasonal Campaign,End-of-Year Sale,8636,USD,Seasonal Campaign through End-of-Year Sale
2023-01-29,Referral,Customer Referral,1522,USD,Referral through Customer Referral
2023-01-30,Email Campaign,Monthly Newsletter,2540,USD,Email Campaign through Monthly Newsletter
2023-01-31,Website,Direct Website,9731,USD,Website through Direct Website
2023-02-01,Website,Direct Website,6696,USD,Website through Direct Website
2023-02-02,Referral,Customer Referral,1400,USD,Referral through Customer Referral
2023-02-03,Email Campaign,Monthly Newsletter,3218,USD,Email Campaign through Monthly Newsletter
2023-02-04,Seasonal Campaign,Holiday Sale,13026,USD,Seasonal Campaign through Holiday Sale
2023-02-05,Seasonal Campaign,Black Friday,8643,USD,Seasonal Campaign through Black Friday
2023-02-06,Seasonal Campaign,Black Friday,7981,USD,Seasonal Campaign through Black Friday
2023-02-07,In-Store,Store Visit,5520,USD,In-Store through Store Visit
2023-02-08,Social Media,LinkedIn,3335,USD,Social Media through LinkedIn
2023-02-09,Website,Direct Website,5502,USD,Website through Direct Website
2023-02-10,Website,E-commerce,9267,USD,Website through E-commerce
2023-02-11,Website,Direct Website,8078,USD,Website through Direct Website
2023-02-12,Social Media,Instagram,4536,USD,Social Media through Instagram
2023-02-13,Email Campaign,Product Launch,3007,USD,Email Campaign through Product Launch
2023-02-14,Website,Direct Website,9308,USD,Website through Direct Website
2023-02-15,Email Campaign,Monthly Newsletter,2687,USD,Email Campaign through Monthly Newsletter
2023-02-16,Seasonal Campaign,Holiday Sale,11126,USD,Seasonal Campaign through Holiday Sale
2023-02-17,Website,E-commerce,8139,USD,Website through E-commerce
2023-02-18,Email Campaign,Product Launch,3262,USD,Email Campaign through Product Launch
2023-02-19,Website,E-commerce,5227,USD,Website through E-commerce
2023-02-20,Referral,Affiliate Program,1798,USD,Referral through Affiliate Program
2023-02-21,In-Store,Store Visit,4246,USD,In-Store through Store Visit
2023-02-22,Email Campaign,Product Launch,3250,USD,Email Campaign through Product Launch
2023-02-23,In-Store,Store Visit,6507,USD,In-Store through Store Visit
2023-02-24,Email Campaign,Product Launch,1944,USD,Email Campaign through Product Launch
2023-02-25,Social Media,Twitter,4990,USD,Social Media through Twitter
2023-02-26,Social Media,LinkedIn,3866,USD,Social Media through LinkedIn
2023-02-27,Website,Direct Website,9266,USD,Website through Direct Website
2023-02-28,Website,E-commerce,6249,USD,Website through E-commerce
2023-03-01,Email Campaign,Monthly Newsletter,3142,USD,Email Campaign through Monthly Newsletter
2023-03-02,Seasonal Campaign,Holiday Sale,6781,USD,Seasonal Campaign through Holiday Sale
2023-03-03,Email Campaign,Monthly Newsletter,2610,USD,Email Campaign through Monthly Newsletter
2023-03-04,Email Campaign,Monthly Newsletter,1981,USD,Email Campaign through Monthly Newsletter
2023-03-05,Referral,Affiliate Program,1850,USD,Referral through Affiliate Program
2023-03-06,Website,Direct Website,7747,USD,Website through Direct Website
2023-03-07,Website,E-commerce,10421,USD,Website through E-commerce
2023-03-08,Seasonal Campaign,Black Friday,8886,USD,Seasonal Campaign through Black Friday
2023-03-09,Referral,Customer Referral,1588,USD,Referral through Customer Referral
2023-03-10,In-Store,Store Visit,6201,USD,In-Store through Store Visit
2023-03-11,Email Campaign,Product Launch,3113,USD,Email Campaign through Product Launch
2023-03-12,Referral,Customer Referral,2693,USD,Referral through Customer Referral
2023-03-13,In-Store,Store Visit,5246,USD,In-Store through Store Visit
2023-03-14,Email Campaign,Product Launch,2483,USD,Email Campaign through Product Launch
2023-03-15,Email Campaign,Product Launch,2166,USD,Email Campaign through Product Launch
2023-03-16,In-Store,Store Visit,6613,USD,In-Store through Store Visit
2023-03-17,Email Campaign,Monthly Newsletter,3063,USD,Email Campaign through Monthly Newsletter
2023-03-18,Referral,Affiliate Program,1618,USD,Referral through Affiliate Program
2023-03-19,In-Store,Store Visit,9484,USD,In-Store through Store Visit
2023-03-20,In-Store,Store Visit,4320,USD,In-Store through Store Visit
2023-03-21,Social Media,LinkedIn,3093,USD,Social Media through LinkedIn
2023-03-22,Website,Direct Website,5954,USD,Website through Direct Website
2023-03-23,In-Store,Store Visit,6181,USD,In-Store through Store Visit
2023-03-24,Email Campaign,Monthly Newsletter,1506,USD,Email Campaign through Monthly Newsletter
2023-03-25,Referral,Customer Referral,2603,USD,Referral through Customer Referral
2023-03-26,Website,E-commerce,5770,USD,Website through E-commerce
2023-03-27,Website,E-commerce,7096,USD,Website through E-commerce
2023-03-28,Website,Direct Website,5651,USD,Website through Direct Website
2023-03-29,In-Store,Store Visit,9271,USD,In-Store through Store Visit
2023-03-30,Seasonal Campaign,End-of-Year Sale,11827,USD,Seasonal Campaign through End-of-Year Sale
2023-03-31,In-Store,Store Visit,5232,USD,In-Store through Store Visit
2023-04-01,Website,E-commerce,8870,USD,Website through E-commerce
2023-04-02,Seasonal Campaign,End-of-Year Sale,8438,USD,Seasonal Campaign through End-of-Year Sale
2023-04-03,Seasonal Campaign,Black Friday,6585,USD,Seasonal Campaign through Black Friday
2023-04-04,In-Store,Store Visit,5306,USD,In-Store through Store Visit
2023-04-05,Website,E-commerce,7360,USD,Website through E-commerce
2023-04-06,Seasonal Campaign,Holiday Sale,13364,USD,Seasonal Campaign through Holiday Sale
2023-04-07,Website,E-commerce,7463,USD,Website through E-commerce
2023-04-08,In-Store,Store Visit,4961,USD,In-Store through Store Visit
2023-04-09,Referral,Customer Referral,2035,USD,Referral through Customer Referral
2023-04-10,Referral,Customer Referral,2554,USD,Referral through Customer Referral
2023-04-11,In-Store,Store Visit,9666,USD,In-Store through Store Visit
2023-04-12,Social Media,Instagram,6550,USD,Social Media through Instagram
2023-04-13,Referral,Customer Referral,2735,USD,Referral through Customer Referral
2023-04-14,In-Store,Store Visit,5372,USD,In-Store through Store Visit
2023-04-15,Social Media,Instagram,5087,USD,Social Media through Instagram
2023-04-16,Seasonal Campaign,End-of-Year Sale,9073,USD,Seasonal Campaign through End-of-Year Sale
2023-04-17,Seasonal Campaign,Black Friday,7895,USD,Seasonal Campaign through Black Friday
2023-04-18,Referral,Customer Referral,2197,USD,Referral through Customer Referral
2023-04-19,In-Store,Store Visit,7810,USD,In-Store through Store Visit
2023-04-20,In-Store,Store Visit,6273,USD,In-Store through Store Visit
2023-04-21,In-Store,Store Visit,6627,USD,In-Store through Store Visit
2023-04-22,Seasonal Campaign,Holiday Sale,10375,USD,Seasonal Campaign through Holiday Sale
2023-04-23,Social Media,Facebook,6298,USD,Social Media through Facebook
2023-04-24,Website,E-commerce,5433,USD,Website through E-commerce
2023-04-25,Social Media,LinkedIn,5627,USD,Social Media through LinkedIn
2023-04-26,Social Media,LinkedIn,4454,USD,Social Media through LinkedIn
2023-04-27,Seasonal Campaign,Black Friday,7600,USD,Seasonal Campaign through Black Friday
2023-04-28,Email Campaign,Product Launch,2418,USD,Email Campaign through Product Launch
2023-04-29,In-Store,Store Visit,7921,USD,In-Store through Store Visit
2023-04-30,Website,Direct Website,10294,USD,Website through Direct Website
2023-05-01,Website,Direct Website,5075,USD,Website through Direct Website
2023-05-02,In-Store,Store Visit,5477,USD,In-Store through Store Visit
2023-05-03,Social Media,Twitter,5935,USD,Social Media through Twitter
2023-05-04,Email Campaign,Monthly Newsletter,1595,USD,Email Campaign through Monthly Newsletter
2023-05-05,Seasonal Campaign,Holiday Sale,7824,USD,Seasonal Campaign through Holiday Sale
2023-05-06,Seasonal Campaign,Holiday Sale,10292,USD,Seasonal Campaign through Holiday Sale
2023-05-07,Social Media,LinkedIn,4629,USD,Social Media through LinkedIn
2023-05-08,Referral,Affiliate Program,2436,USD,Referral through Affiliate Program
2023-05-09,Email Campaign,Monthly Newsletter,1708,USD,Email Campaign through Monthly Newsletter
2023-05-10,Social Media,Instagram,5610,USD,Social Media through Instagram
2023-05-11,Seasonal Campaign,End-of-Year Sale,13664,USD,Seasonal Campaign through End-of-Year Sale
2023-05-12,Seasonal Campaign,Holiday Sale,10937,USD,Seasonal Campaign through Holiday Sale
2023-05-13,Seasonal Campaign,End-of-Year Sale,9473,USD,Seasonal Campaign through End-of-Year Sale
2023-05-14,Social Media,LinkedIn,5500,USD,Social Media through LinkedIn
2023-05-15,Seasonal Campaign,Holiday Sale,9327,USD,Seasonal Campaign through Holiday Sale
2023-05-16,Social Media,Instagram,5299,USD,Social Media through Instagram
2023-05-17,In-Store,Store Visit,8325,USD,In-Store through Store Visit
2023-05-18,Website,E-commerce,8561,USD,Website through E-commerce
2023-05-19,Referral,Customer Referral,1752,USD,Referral through Customer Referral
2023-05-20,Email Campaign,Monthly Newsletter,2228,USD,Email Campaign through Monthly Newsletter
2023-05-21,Website,Direct Website,6769,USD,Website through Direct Website
2023-05-22,Email Campaign,Product Launch,2418,USD,Email Campaign through Product Launch
2023-05-23,Website,Direct Website,6081,USD,Website through Direct Website
2023-05-24,Email Campaign,Product Launch,3337,USD,Email Campaign through Product Launch
2023-05-25,Referral,Affiliate Program,1933,USD,Referral through Affiliate Program
2023-05-26,Referral,Customer Referral,2606,USD,Referral through Customer Referral
2023-05-27,Seasonal Campaign,Black Friday,6585,USD,Seasonal Campaign through Black Friday
2023-05-28,In-Store,Store Visit,9412,USD,In-Store through Store Visit
2023-05-29,In-Store,Store Visit,5202,USD,In-Store through Store Visit
